Memory:,Graphics Card:,CPU:,File Size:,OS:,name
 2 GB, AMD Radeon HD 6250 , Intel Core 2 Duo Q6867 , Unknown, WindowsR 7/8/8.1/10 (32bit/64bit),Sleepy Sheep System Requirements
,,,,,Mr.Brocco & Co System Requirements
 2 GB, AMD Radeon HD 6850 , Intel Core i3-530 , Unknown, Windows 7 / Windows 8 / Windows 10,Organised Crime: Prologue System Requirements
 8 GB, AMD Radeon R9 380 , Intel Core i5-2500K , 3 GB, Windows 10,Koa: The Forgotten Gods System Requirements
 3 GB, NVIDIA GeForce 7200 GS , Intel Core 2 Duo Q6867 , 6 GB, Microsoft XP,Dark Desire 3 System Requirements
 1 GB, ATI FireGL T2-128 , Intel Core 2 Duo Q6867 , 200 MB, Windows 7,Hero Hours Contract 2: A Factory for Magical Girls System Requirements
 2 GB, NVIDIA GeForce 510 , Intel Pentium 4 2.00GHz , 500 MB, Windows 7 or better,Powerful Courses System Requirements
 512 MB, Intel Media Accelerator 500 , Intel Celeron , 50 MB, Microsoft Windows,Deer Nightmare System Requirements
 512 MB, NVIDIA GeForce 510 , Intel Pentium III 1400 @ 1400MHz , 20 MB," Windows XP, Vista, 7, 8",Hidden in the Dark System Requirements
 2 GB, NVIDIA GeForce GT 720 , Intel Core 2 Duo Q6867 , 1 GB," Windows 7,8,10",Gamer Girls: Futanari System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E6320 , 100 MB, Windows 7/8/10,Stories school System Requirements
 1 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 1 GB, Windows,天香与小百合 - Tinheung & Sayuri System Requirements
 1 GB, NVIDIA GeForce 9600 GSO , Intel Celeron G530 , 21 MB, Windows 7; 8; 10,PLANETOIDS System Requirements
 16 GB, NVIDIA GeForce GTX 1080 , Intel Core 2 Quad Q9705 , 3 GB, Windows 10 (64 Bit),Wilderness Game Stalker VR: North America System Requirements
 2 MB, Intel HD 4000 , Intel Core i3-2340UE , 200 MB, Windows 7 or newer,Sosso System Requirements
 2 GB, NVIDIA GeForce 205 , Intel Pentium 4 1.80GHz , 2 GB, Windows 7 SP1 or higher,Little Nemo The Clown System Requirements
 8 GB, Intel Iris Plus 640 , Intel Core i5-8265U , 2 GB, Windows 10,Embodiment System Requirements
 8 GB, AMD Radeon RX 480 , Intel Core i5-4590 , 1 GB, Windows 7/8.1/10 (64-bit versions),Welcome to Chornobayivka VR System Requirements
 2 GB, NVIDIA GeForce GTX 470 , Intel Core i5 750S , 500 MB, Windows 7 64-bit or higher,Crustacean Nations System Requirements
 512 MB, ATI FireGL T2-128 , Intel Pentium 4 1.50GHz , 300 MB, Microsoft® Windows® XP/Vista/7/8/8.1/10/11,Once in Yaissor 3 System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Atom x7-Z8750 , 250 MB, Windows 10 64bit,Magazine Mogul System Requirements
 4 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Pentium 4 2.00GHz , Unknown," Windows 7 (SP1+), Windows 10 and Windows 11",Spirits of Yendor System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Atom x7-Z8750 , 250 MB, Windows 10 64bit,World Cruise Story System Requirements
 8 GB, ATI FireGL T2-128 , Intel Atom Z515 , 4 GB, WIN7 SP1/WIN8/WIN10/XP,Desktop Girlfriend System Requirements
 8 GB, NVIDIA GeForce GTX 950 , Intel Core i5-2400 , 2 GB, Windows 10,Twin Cores System Requirements
 2 GB, AMD Radeon HD 7750 , Intel Core i3-2340UE , 2 GB, Windows 7,KAKUDO System Requirements
 4 GB, NVIDIA GeForce GT 620 , Intel Pentium 4 2.00GHz , 1 GB, Windows 10 (Windows RT and 10 Mobile are not supported),Hot“Sento Girls”and love System Requirements
 2 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 1 GB, Windows® 7/10,Gnomes United System Requirements
 4 GB, Intel HD 4000 , Intel Core 2 Duo Q6867 , 2 GB, Windows 7,Hidden Cats in London System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Pentium 4 2.00GHz , 250 MB, Windows 7 64bit,Grim Survivor System Requirements
 4 GB, AMD Radeon HD 7870 , Intel Core i3-6100 , 300 MB," Windows Xp, Vista, 7, 8/8.1, 10",BombViking System Requirements
2 GB,ATI FireMV 2260,Intel Core i3-2340UE,3 GB,"glibc 2.17+, 32/64-bit",Pep-Pel System Requirements
 2 MB, NVIDIA GeForce GT 720 , Intel Pentium 4 2.00GHz , 100 MB, 64 Bit Windows,Mottia - The gem hunters System Requirements
 4 GB, ATI FireGL T2-128 , Intel Core 2 Duo Q6867 , 1 GB, Windows 7,Playback Trauma®: In Sickness System Requirements
 1 GB, NVIDIA GeForce GT 620 , Intel Core i5-7200U , 1 GB, Windows 10,Dark Maidens System Requirements
 1 GB, ATI FireGL T2-128 , Intel Atom Z510 , 800 MB, Windows XP,風色幻想3:罪與罰的鎮魂歌 System Requirements
 1 GB, ATI FireGL T2-128 , Intel Atom Z510 , 800 MB, Windows XP,風色幻想2:Alive System Requirements
 4 GB, Intel HD 4000 , Intel Core 2 Duo Q6867 , 500 MB, Windows 7,Cube Farmer System Requirements
 512 MB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , 200 MB, Windows 7 64-bit or Newer,Fighter X Fighter System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Atom x7-Z8750 , 250 MB, Windows 10 64bit,Epic Astro Story System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 10 GB, Windows 7 SP1 or newer,Fatal Blade System Requirements
 8 GB, NVIDIA GeForce MX150 , Intel Pentium 4 1.60GHz , 300 MB," Windows 7 (SP1+) , Windows 10 and Windows 11",PictoPull System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core i5-4400E , 300 MB, Windows 10,Metal Miners System Requirements
 8 GB, Intel HD 5500 , Intel Core 2 Duo Q6867 , 300 MB, XP Service Pack 3 or newer,NOA's PROJECT System Requirements
4 GB,NVIDIA GeForce 205,Intel Core i3-2340UE,500 MB,"Ubuntu 20.04, Ubuntu 18.04, and CentOS 7",Neutrino System Requirements
 8 GB, AMD Radeon R7 260X , Intel Core i3-2100T , 1 GB, Windows 8.1 64-bit or Windows 10 64-bit,Co OPERATION: MultiTurn System Requirements
 4 GB, NVIDIA GeForce GTX 1060 , Intel Core i7-610 , 4 GB, Windows 7,NOTALONE System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , 5 GB, Unknown,海之乐章2 System Requirements
 4 GB, AMD Radeon HD 5450 , Intel Pentium 4 2.00GHz , Unknown," Windows 7, 8, 10",Furry Superstar ? System Requirements
 2 GB, ATI FireGL T2-128 , Intel Core 2 Duo Q6867 , 500 MB, Windows 7,V Lights System Requirements
 4 GB, ATI FireGL T2-128 , Intel Core i5-4400E , 300 MB, Windows10 64bit,Oblige Of CHAOS System Requirements
 2 GB, NVIDIA GeForce GTX 970 , Intel Core 2 Duo Q6867 , 1 GB, Win XP or above,Swords and Sorcery - Sovereign System Requirements
 2 GB, Intel HD 520 , Intel Core 2 Duo Q6867 , 200 MB, Windows 10/11,Vault Circuit System Requirements
 512 MB, ATI FireGL T2-128 , Intel Pentium III 1400 @ 1400MHz , 150 MB, Microsoft Windows 7,Mud Way System Requirements
 8 GB, NVIDIA GeForce GTX 1070 , Intel Core i7-9700 , 30 GB, Windows 10 64-bit,Project SPS System Requirements
 4 GB, NVIDIA GeForce GTX 660 , Intel Core i3-2340UE , 2 GB, Windows 7 64 Bit,ESCAPE IT System Requirements
 6 GB, NVIDIA GeForce GTX 1050 Ti , Intel Core i5-4400E , 39 GB, win7,异能女者cp2 System Requirements
 6 GB, NVIDIA GeForce GTX 660 , Intel Core i5-4400E , 2 GB, Windows 7 64-bit and greater,Wood & Weather System Requirements
1 GB,NVIDIA GeForce 510,Intel Pentium 4 1.50GHz,200 MB,Ubuntu 10.10+,Blue Fish Yokohama System Requirements
 512 MB, NVIDIA GeForce GT 610 , Intel Core i3-2340UE , 83 MB, WIN7,天剑局剑士 System Requirements
 512 MB, AMD Radeon HD 5450 , Intel Core i5-4400E , 1 GB, Windows 7/8/10,魔女低语时 System Requirements
 8 GB, AMD Radeon RX 460 , Intel Core i5-4460 , 50 GB, Windows 10 64-bit,Action: Vengeance System Requirements
2 GB,NVIDIA GeForce 8500 GT,Intel Core 2 Duo Q6867,2 GB,Ubuntu 16.04 or later,Infinity Pinball System Requirements
 2 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Pentium 4 2.00GHz , 300 MB," Windows 7 (SP1+), Windows 10 and Windows 11 (64bit)",NONOGRAM - KAWAII CUTIES System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core i3-2340UE , 700 MB, Windows 10,SATSIM - Virtual Aerospace Lab System Requirements
 512 MB, ATI FireGL T2-128 , Intel Pentium 4 1.50GHz , 2 GB, Microsoft® Windows® XP/Vista/7/8/8.1/10,The Sun of Broken Euphoria System Requirements
 2 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 500 MB, Windows 11,Deck of Life: You Die If You Have No Cards In Your Hand System Requirements
 4 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Pentium 4 2.00GHz , 150 MB, Windows 7 or above,大分・別府ミステリー案内  歪んだ竹灯篭 System Requirements
 4 GB, AMD Radeon RX 480 , Intel Core i5-4590 , 1 GB, Windows 10,Mythargia System Requirements
 1.95 GB, NVIDIA GeForce GTX 970 , Intel Core i3-2340UE , 1 GB, Windows 7,Furnish Master System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Atom x7-Z8750 , 250 MB, Windows 10 64bit,Mega Mall Story 2 System Requirements
 4 GB, NVIDIA GeForce 7200 GS , Intel Atom Z515 , 200 MB, Windows 7+,Madcap Mosaic System Requirements
 500 MB, ATI FireGL T2-128 , Intel Atom Z515 , 2.44 GB, Windows 7,Pierre's Adventures in French - Learn French System Requirements
 2 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 500 MB," Windows Xp, Vista, 7, 8/8.1, 10",Arc Intelligence System Requirements
 1 GB, Intel Media Accelerator 500 , Intel Pentium 4 2.00GHz , 1 GB, Windows 7,Chill Town System Requirements
512 MB,ATI FireGL T2-128,Intel Atom Z510,562 MB,OS: Ubuntu / SteamOS,Alaris System Requirements
 8 GB, AMD Radeon R5 M230 , Intel Pentium 4 4.00GHz , 7 GB," Windows 10 , Windows 11",OverTheSpeedLimit System Requirements
 4 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Pentium 4 2.00GHz , 180 MB, min. Windows 7 (SP1+) and Windows 10,Home Deco Puzzles System Requirements
 1 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 350 MB," Windows 8, 10 or 11",What if George Washington was a Girl? System Requirements
 14 MB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , 14 MB, Unknown,The Descent System Requirements
 4 GB, ATI FireGL T2-128 , Intel Core i3-2340UE , Unknown, Windows 7,NekoNecro System Requirements
 2 GB, NVIDIA GeForce 8800 GT , Intel Core 2 Duo Q6867 , Unknown, Windows 8.1 64bit +,Crash & Bump System Requirements
 4 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Pentium 4 2.00GHz , 1 GB," Windows 7 (SP1+), Windows 10 and Windows 11",DinoLife System Requirements
 4 GB, ATI FireGL T2-128 , Intel Pentium 4 1.60GHz , 8 GB, Microsoft® Windows® 7/8/8.1/10/11 (32bit/64bit),Dome-King Cabbage System Requirements
 12 GB, NVIDIA GeForce GTX 1060 , Intel Core i5-7500 , 25 GB, Windows 10,The Utility Room System Requirements
2 GB,NVIDIA GeForce 510,Intel Core 2 Duo E8400,3 GB,Version: Ubuntu 16.04+,SYNESTHESIA System Requirements
 4 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 100 MB, Windows 7+,Rustled Pete System Requirements
 512 MB, ATI FireGL T2-128 , Intel Pentium III 1400 @ 1400MHz , 500 MB," Windows XP, Vista, 7, 8, 10",Rats in a Cage System Requirements
 1 GB, ATI FireGL T2-128 , Intel Core 2 Duo E8400 , 10 GB, Windows 10,镇魔曲 System Requirements
 4 GB, NVIDIA GeForce 256 , Intel Core 2 Duo Q6867 , 4 GB," Windows 7 or newer, 64-bit",Project New Horizon System Requirements
 1 GB, ATI FireGL T2-128 , Intel Atom Z510 , 400 MB, Windows XP,風色幻想SP:封神之刻 System Requirements
 512 MB, NVIDIA GeForce 510 , Intel 1500 , Unknown, Windows XP SP3 or later,1001 Jigsaw. Cute Cats 2 System Requirements
 4 GB, NVIDIA GeForce GTX 1650 , Intel Core i3-10100 , 1 GB, windows 10,Blastonier System Requirements
 2 GB, NVIDIA GeForce GT 720 , Intel Core 2 Duo Q6867 , Unknown, Windows 10 and higher,Haunted Girls System Requirements
 1 GB, ATI FireGL T2-128 , Intel Atom Z510 , 1.46 GB, Windows XP,風色幻想6:冒險奏鳴 System Requirements
 1 GB, ATI FireGL T2-128 , Intel Atom Z510 , 1.46 GB, Windows XP,風色幻想XX:交錯的軌跡 System Requirements
 1 GB, ATI FireGL T2-128 , Intel Atom Z510 , 850 MB, Windows XP,風色幻想5:赤月戰爭 System Requirements
 1 GB, ATI FireGL T2-128 , Intel Atom Z510 , 900 MB, Windows XP,風色幻想4:聖戰的終焉 System Requirements
 1 GB, ATI FireGL T2-128 , Intel Atom Z510 , 150 MB, Windows XP,魔導聖戰:風色幻想 System Requirements
 4 GB, Intel HD 520 , Intel Core i3-6006U , 2 GB, Windows 10 Home,beat refle System Requirements
 8 GB, NVIDIA GeForce 510 , Intel Core m3-8100Y , 170 MB, Windows 10 or higher,B.I.N.D. System Requirements
 4 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Core 2 Duo Q6867 , 16 GB," Windows 7+, 64 Bit",Case Files: The Death of Paulette Williams System Requirements
 4 GB, NVIDIA GeForce GTX 1060 , Intel Core i7-610 , 2 GB, Windows7 64bit,WHY I was Born System Requirements
 8 GB, NVIDIA GeForce GTX 980 , Intel Core i7-975 , 9.77 GB, Windows 7 64-bit,Primordials Legends: Hollow Hero System Requirements
 4 GB, NVIDIA GeForce GTX 760 , Intel Core 2 Duo Q6867 , 4 GB, 10,Fragment Hunters System Requirements
 4 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 3 GB, Windows 10,ROUGH LOVE System Requirements
 256 MB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 250 MB, Windows 7 64-bit,Monster Breakout System Requirements
 2 GB, ATI FireGL T2-128 , Intel Pentium 4 4.00GHz , 100 MB, Windows 7 or Later,Bananner Nababber System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core i3-2340UE , 200 MB, Microsoft® Windows® 7 / 8 / 10 / 11+,Cult Of Babel : Prologue System Requirements
 4 GB, Intel HD 4000 , Intel Core i3-530 , 4 GB, Windows 8/10 64-bit,Spellstruck System Requirements
 16 GB, NVIDIA GeForce GTX 1050 , Intel Core i5-4400E , 5 GB, Windows 10 or Higher,The Classrooms System Requirements
 6 GB, AMD Radeon RX 460 , Intel Core i5-3470 , 6 GB," Windows 7, 10 only 64 bit",Sears: The Sky Frontier System Requirements
 2 GB, ATI FireGL T2-128 , Intel Core 2 Duo Q6867 , 2 GB, Windows 7 or higher,Life Matters System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Atom x7-Z8750 , 250 MB, Windows 10 64bit,Shiny Ski Resort System Requirements
 8 GB, NVIDIA GeForce GTX 1660 , AMD Ryzen 5 2600 , 700 MB, windows10,Invisible Man VR In Eleanor's room System Requirements
 512 MB, NVIDIA GeForce 205 , Intel Pentium 4 4.00GHz , 500 MB, Windows 7 or newer,Chess Survivors System Requirements
 4 GB, NVIDIA GeForce GTX 1060 , Intel Core i5-650 , Unknown, Windows 10+,City Rhapsody! System Requirements
 2 GB, NVIDIA GeForce GTX 770 , Intel Core i3-2340UE , 2 GB, Windows 10,The Tower -To the Bottom- System Requirements
 8 GB, NVIDIA GeForce GTX 1650 , Intel Core 2 Duo E8400 , 2 GB, Windows 7/8/10 64-bit,Room of Depression System Requirements
 2 GB, ATI FireGL T2-128 , Intel Atom Z515 , 500 MB, WIN7 SP1/WIN8/WIN10/XP,矿老板模拟器 System Requirements
 2 GB, ATI FireMV 2400 PCIe , Intel Core 2 Duo E6600 , 8 GB, Windows® 7/10/11/Vista/XP,Joint War System Requirements
 2 GB, Intel Media Accelerator 500 , Intel Core 2 Duo Q6867 , 2 GB, Windows 7 or higher,Reforger System Requirements
 256 MB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 300 MB, Windows 7,Dransik System Requirements
 256 MB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 600 MB, Any,MatchR: Now hiring System Requirements
 8 GB, NVIDIA GeForce GTX 960 , Intel Core i5-6400 , 10 GB, Windows 10,Pimp My Cruise - Maritime Business Simulator System Requirements
 4 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 10 GB, Windows 11,Talking Dogs System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Atom Z510 , 1 GB, Windows 7,Ashen Empires System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core i5 750S , Unknown, Windows 7,Angry Cat System Requirements
 10 GB, NVIDIA GeForce GTX 960 , Intel Core i5-4400E , 2 GB, win7/win8/win10,Stunning Policewoman System Requirements
 2 GB, ATI FireGL T2-128 , Intel Core 2 Duo Q6867 , 200 MB, Windows XP/Vista/7/8,Jigsaw Puzzle - Futanari Pool Party System Requirements
 1 GB, AMD Radeon X700 , Intel Pentium 4 2.00GHz , 300 MB, Windows® 7 and above,Jade Order System Requirements
4 GB,ATI FireGL T2-128,Intel Core 2 Duo E8400,150 MB,Ubuntu 12.04 / Fedora 21 / Debian 8,Paragon Pioneers System Requirements
2 GB,ATI FireGL T2-128,Intel Core 2 Duo Q6867,2 GB,Ubuntu 12.04+,Yandere Goddess: A Snatch Made in Heaven System Requirements
 6 GB, AMD Radeon R7 370 , Intel Core i5-4460 , 2 GB, Windows 7-10,Space Tail: Lost in the Sands System Requirements
 2 GB, NVIDIA GeForce GT 240 , Intel Pentium 4 2.00GHz , 274 MB, Windows 10/11 64-bit,Nonozle System Requirements
 1 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 1.64 GB, OS: Windows 7/Windows 8/Windows 10,Living Legends: Bound by Wishes Collector's Edition System Requirements
 8 GB, AMD Radeon R7 360 , Intel Core i5-2300 , 10 GB, Windows 10,Star Boy and The Captain of Outer Space System Requirements
4 GB,NVIDIA GeForce 510,Intel Core 2 Duo E8400,Unknown,Ubuntu 12.4,Skystrike: Wings of Justice System Requirements
 2 GB, NVIDIA GeForce 510 , Intel Pentium 4 1.80GHz , 500 MB, 32/64-bit Windows 8 / 8.1 / 10,Miko no Kanata: Curious Tales from Oguni Shrine -Cycles- System Requirements
 1 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 8 GB, Microsoft Windows  8.1 / 10,"Happy Live,Show Up! System Requirements"
 4 GB, Intel HD 520 , Intel Core i3-5005U , 5 GB, Windows 10,Oh Sheep!: Baaaa System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 4 GB, Windows 7 SP1 or newer,Warp Lab System Requirements
 2 GB, ATI FireGL T2-128 , Intel Core 2 Duo Q6867 , 200 MB, Windows XP/Vista/7/8,Memory Puzzle - Futanari Boss System Requirements
 500 MB, AMD Radeon R5 M230 , Intel Core i3-2340UE , 1 GB, Windows7,MARIONETTE System Requirements
 2 GB, ATI FireGL T2-128 , Intel Core i3-2340UE , 200 MB, Windows 10,Tiles II - Multiplayer System Requirements
 2 GB, AMD Radeon HD 6250 , Intel Core 2 Duo Q6867 , 1 GB, Windows® 7/8/8.1/10 (32-bit/64-bit),Girl And Demon 1 System Requirements
 2 GB, NVIDIA GeForce 510 , Intel Pentium 4 4.00GHz , 500 MB, Windows 7 SP1+,Rusl System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, Windows 10,Blacksmith Weapon Merchant System Requirements
 2 GB, ATI FireGL T2-128 , Intel Pentium 4 4.00GHz , 500 MB, Windows,LEGENO SLAYER System Requirements
 4 GB, NVIDIA GeForce GTX 560 , Intel Pentium 4 2.00GHz , 500 MB, Windows 7,Breakthrough System Requirements
 16 GB, NVIDIA GeForce GTX 1060 , Intel Core i7-8750H , 30 GB, Windows 10,Those Left Behind System Requirements
 8 GB, AMD Radeon R9 380 , Intel Core i5-6600K , 2 GB, Windows 10 (64-bit),SpellSlingers System Requirements
 3 GB, NVIDIA GeForce GT 720M , Intel Core i5-3230M , 1 GB, Windows 7/8/10,Approval  System Requirements
 1 GB, ATI FireGL T2-128 , Intel Atom Z510 , 1 GB, Win7/8/10/11,江湖游侠 System Requirements
 4 GB, ATI FireGL V7350 , Intel Core i3-2340UE , 400 MB, Windows XP/Vista/7/8/10,Arcade Waifu System Requirements
 2 GB, NVIDIA GeForce 7200 GS , Intel Atom Z515 , 700 MB, Windows 7 and above,Formula 2D - Steer to persevere System Requirements
 4 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 2 GB, ,神无·樱之篇 System Requirements
 2 GB, ATI FireMV 2260 , Intel Pentium 4 2.00GHz , 500 MB, Windows 7,Wispera System Requirements
 1 GB, AMD Radeon HD 6670 , Intel Core 2 Duo E8400 , 4 GB, Windows 7,4 The Elements System Requirements
2 GB,ATI FireGL T2-128,Intel Pentium 4 4.00GHz,1 GB,Ubuntu 12.04 (64 Bit only),The Empress Quest : Full Moons Saga System Requirements
 2 GB, NVIDIA GeForce 256 , Intel Pentium 4 1.80GHz , 200 MB, Windows 7/8/10,They Came From the Sky 2 System Requirements
 2 GB, NVIDIA GeForce GTX 650 , Intel Core i3-6100 , 1 GB, windows7+  64-bit,少女妖精弹珠台 Elf Girl Pinball System Requirements
4 GB,NVIDIA GeForce 510,Intel Pentium 4 4.00GHz,300 MB,Ubuntu 20.04 or higher,Tommy Gun Carnage System Requirements
 1 GB, AMD Radeon HD 6570 , Intel Core i3-2100 , 1 GB, Windows7,MetaCitizen System Requirements
1 GB,ATI FireGL T2-128,Intel Pentium 4 1300MHz,500 MB,Ubuntu 18.04+,Somnipathy System Requirements
 4 GB, Intel HD 5500 , Intel Pentium 4 2.00GHz , Unknown, Windows,Lord Of The Imps System Requirements
 12 GB, AMD Radeon RX 580 , Intel Core i5-8400 , 15 GB, Windows 10,Protocol Aftertime System Requirements
 1 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Pentium 4 2.00GHz , 400 MB, Windows 10,BVOVB - Bruising Vengeance of the Vintage Boxer System Requirements
 512 MB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , 2 GB, Unknown,太极OL System Requirements
 6 GB, NVIDIA GeForce GTX 660 , Intel Core i5-3330 , 8 GB, 64-bit Windows 7,KAMiBAKO - Mythology of Cube - System Requirements
 8 GB, ATI FireGL V7350 , Intel Core 2 Duo Q6867 , 350 MB, Windows 10,Protocol Xeno System Requirements
 10 GB, NVIDIA GeForce GTX 660 , Intel Core i3-540 , 10 GB, Windows 10,Hotel Simulator System Requirements
 4 GB, AMD Radeon R7 370 , Intel Core i3-2125 , 5 GB, Windows 7/8/10,重启战纪 System Requirements
 512 MB, NVIDIA GeForce 510 , Intel Pentium 4 2.00GHz , 94 MB, Windows 7,Raccoon Run System Requirements
 1.17 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , 100 MB, Unknown,Luxworks System Requirements
 3 GB, AMD Radeon RX Vega , AMD Ryzen 3 3200U , 220 MB, Windows 7,Galaxy Survivors System Requirements
